year,month,rain_mm,Kinneret_Level_end_of_month,tmp_air_max,tmp_air_min,rain_day,sns_drt,Date,Kinneret_Level_end_of_last_month,Change_from_last_month,tmp_air_max_binned,tmp_air_min_binned
1991,1,1812.4582375673144,-212.7,15.339558573853992,6.873646481795887,26,333.5806451612903,1991-01-01,-212.85,0.15000000000000568,11-17,3-8
1991,2,802.6965313587195,-212.47,16.73031954887218,7.172697368421052,17,408.42857142857144,1991-02-01,-212.7,0.22999999999998977,11-17,3-8
1991,3,1331.5871905806628,-212.13,19.905442369364277,10.288877237369196,20,396.38709677419354,1991-03-01,-212.47,0.3400000000000034,17-23,8-12
1991,4,339.7646936442339,-211.92,24.540360623781673,12.240263157894733,9,482.4,1991-04-01,-212.13,0.21000000000000796,23-28,12-16
1991,5,70.31977181116349,-211.96,26.602716468590824,14.203282399547257,8,598.0645161290323,1991-05-01,-211.92,-0.040000000000020464,23-28,12-16
1991,6,0.0,-212.08,29.27070175438596,16.696666666666662,0,731.1,1991-06-01,-211.96,-0.12000000000000455,28-31,16-19
1991,7,0.0,-212.27,30.246312016600644,19.31409168081494,0,710.1290322580645,1991-07-01,-212.08,-0.18999999999999773,28-31,16-19
1991,8,0.0,-212.49,30.595425391435587,20.24583097528768,0,682.258064516129,1991-08-01,-212.27,-0.21999999999999886,28-31,19-23
1991,9,13.792741935483871,-212.68,29.893834422657957,17.912407407407407,3,588.8,1991-09-01,-212.49,-0.18999999999999773,28-31,16-19
1991,10,184.35051513963907,-212.8,28.519162866051907,16.512497641954347,14,519.3870967741935,1991-10-01,-212.68,-0.12000000000000455,23-28,16-19
1991,11,1883.2070748147826,-212.74,22.38725925925926,12.340803118908386,18,427.0,1991-11-01,-212.8,0.060000000000002274,17-23,12-16
1991,12,3405.292902291332,-212.07,14.403326231454662,7.688155952816894,26,267.0967741935484,1991-12-01,-212.74,0.6700000000000159,11-17,3-8
1992,1,2211.0953264670416,-211.02,11.887096774193552,4.902130730050935,23,270.7741935483871,1992-01-01,-212.07,1.049999999999983,,3-8
1992,2,3205.3957411082947,-209.22,12.145190562613426,5.250998185117967,27,231.6206896551724,1992-02-01,-211.02,1.8000000000000114,11-17,3-8
1992,3,470.3120201315782,-208.98,17.17608875128999,7.036504987960097,21,417.5,1992-03-01,-209.22,0.2400000000000091,11-17,3-8
